product_image,product_nama,product_nama_url,product_spesifikasi,product_harga
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/1/g/1g7s2pa.png,HP Pavilion Gaming Laptop - 15-dk1064tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-dk1064tx-1g7s2pa.html,"10th Generation Intel® Core™ i5 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce RTX™ 2060 with Max-Q design (6 GB GDDR6 dedicated)
8 GB DDR4-2933 SDRAM (1 x 8 GB)
Starting at 2.23 kg",Rp 15.722.385
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/c/0/c06720247.png,OMEN Laptop - 15-ek0044tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-ek0044tx-1e8c8pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce RTX™ 2060 (6 GB GDDR6 dedicated)
16 GB DDR4-2933 SDRAM (2 x 8 GB)
Starting at 2.36 kg",Rp 22.999.000
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/c/0/c06596623_1.png,OMEN Laptop 15-en0044AX,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-en0044ax-2u3s0pa.html,"AMD Ryzen™ 9 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce RTX™ 2060 (6 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 2.37 kg",Rp 22.999.000
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/c/0/c06695161.png,OMEN Laptop 15-en0013AX,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-en0013ax-1e8c7pa.html,"AMD Ryzen™ 7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce RTX™ 2060 (6 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 2.37 kg",Rp 18.999.000
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/1/6/167z3pa.png,HP Pavilion Gaming Laptop - 15-dk1041tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-dk1041tx-167z3pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce® GTX 1650 (4 GB GDDR6 dedicated)
8 GB DDR4-2933 SDRAM (1 x 8 GB)
Starting at 2.23 kg",Rp 15.299.000
https://id-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/2/2/22g93pa_1_.png,HP Pavilion Gaming Laptop - 15-ec1076ax,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-ec1076ax-22g93pa.html,"AMD Ryzen™ 7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1660 Ti with Max-Q design (6 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 1.98 kg",Rp 16.499.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop 15-dk1141TX,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-dk1141tx-2y8q9pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
Intel® UHD Graphics
8 GB DDR4-2933 SDRAM (1 x 8 GB)
Starting at 2.23 kg",Rp 17.499.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop 15-ec0107AX,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-ec0107ax-23m20pa.html,"AMD Ryzen™ 5 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce® GTX 1650 Graphics (4 GB GDDR5 dedicated)
8 GB DDR4-2400 SDRAM (1 x 8 GB)
Starting at 1.98 kg",Rp 11.899.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop - 15-dk1092tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-dk1092tx-22g95pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1650 (4 GB GDDR6 dedicated)
16 GB DDR4-2933 SDRAM (1 x 16 GB)
Starting at 2.23 kg",Rp 15.499.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN Laptop - 15-dh1020tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-dh1020tx-1e8d0pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 300 Hz, 3 ms response time, IPS, micro-edge, anti-glare, 300 nits, 100% sRGB
NVIDIA® GeForce® RTX 2070 SUPER™ with Max-Q design (8 GB GDDR6 dedicated)
32 GB DDR4-2933 SDRAM (2 x 16 GB)
Starting at 2.39 kg",Rp 33.999.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop - 15-ec1075ax,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-ec1075ax-22g92pa.html,"AMD Ryzen™ 5 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1650 (4 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 1.98 kg",Rp 13.799.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN Laptop 15-ek0106TX,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-ek0106tx-2u3r9pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce RTX™ 2060 (6 GB GDDR6 dedicated)
16 GB DDR4-2933 SDRAM (2 x 8 GB)
Starting at 2.36 kg",Rp 24.999.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN Laptop 15-ek0105TX,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-ek0105tx-2u3r7pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce RTX™ 2070 with Max-Q design (8 GB GDDR6 dedicated)
32 GB DDR4-2933 SDRAM (2 x 16 GB)
Starting at 2.36 kg",Rp 35.999.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop 15-ec1071AX,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-15-ec1071ax-1x9y9pa.html,"AMD Ryzen™ 7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce® GTX 1650 Ti (4 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 1.98 kg",Rp 14.949.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN Laptop - 15-ek0045tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-ek0045tx-1e8c9pa.html,"10th Generation Intel® Core™ i7 processor
Windows 10 Home 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1650 Ti (4 GB GDDR6 dedicated)
16 GB DDR4-2933 SDRAM (2 x 8 GB)
Starting at 2.36 kg",Rp 17.499.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN Laptop 15-en0045AX,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-laptop-15-en0045ax-2u3s1pa.html,"AMD Ryzen™ 5 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1660 Ti (6 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 2.37 kg",Rp 17.999.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop - 15-ec1077ax,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-ec1077ax-230l2pa.html,"AMD Ryzen™ 5 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce® GTX 1650 (4 GB GDDR6 dedicated)
16 GB DDR4-3200 SDRAM (2 x 8 GB)
Starting at 1.98 kg",Rp 13.799.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,OMEN by HP 15-dc1111tx,https://store.hp.com/id-id/default/laptops-tablets/gaming/omen-by-hp-15-dc1111tx-8wn34pa.html,"9th Generation Intel® Core™ i7 processor
Windows 10 Home Single Language 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC
NVIDIA® GeForce® GTX 1660 Ti Graphics (6 GB GDDR6 dedicated)
8 GB DDR4-2666 SDRAM (1 x 8 GB)
2.32 kg",Rp 18.799.000
https://id-media.apjonlinecdn.com/static/version1616498024/frontend/HPOLS/default/id_ID/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Pavilion Gaming Laptop 15-dk1140TX,https://store.hp.com/id-id/default/laptops-tablets/gaming/hp-pavilion-gaming-laptop-15-dk1140tx-2y7y8pa.html,"10th Generation Intel® Core™ i5 processor
Windows 10 Home 64
15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC
NVIDIA® GeForce® GTX 1650 Laptop GPU (4 GB GDDR6 dedicated)
8 GB DDR4-2933 MHz RAM (1 x 8 GB)
Starting at 2.23 kg",Rp 12.149.100
